175,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2016-12-11 05:00:00,7
2016-12-11 05:02:00,7
2016-12-11 05:05:00,7
2016-12-11 05:07:00,7
2016-12-11 05:11:00,7
2016-12-11 05:13:00,6
2016-12-11 05:16:00,7
2016-12-11 05:19:00,7
2016-12-11 05:21:00,8
2016-12-11 05:24:00,8
2016-12-11 05:26:00,8
2016-12-11 05:29:00,8
2016-12-11 05:32:00,8
2016-12-11 05:34:00,10
2016-12-11 05:37:00,9
2016-12-11 05:39:00,9
2016-12-11 05:42:00,10
2016-12-11 05:45:00,10
2016-12-11 05:47:00,9
2016-12-11 05:50:00,9
2016-12-11 05:53:00,10
2016-12-11 05:55:00,4
