113,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2016-12-13 00:00:00,1
2016-12-13 00:05:00,1
2016-12-13 00:08:00,1
2016-12-13 00:09:00,1
2016-12-13 00:14:00,1
2016-12-13 00:26:00,2
2016-12-13 00:28:00,1
2016-12-13 00:29:00,1
2016-12-13 00:33:00,1
2016-12-13 00:37:00,1
2016-12-13 00:38:00,1
2016-12-13 00:40:00,1
2016-12-13 00:41:00,1
2016-12-13 00:46:00,1
2016-12-13 00:53:00,1
2016-12-13 00:54:00,1
2016-12-13 00:55:00,1
2016-12-13 00:57:00,1
2016-12-13 00:59:00,1
2016-12-13 01:08:00,1
2016-12-13 01:09:00,1
2016-12-13 01:11:00,1
2016-12-13 01:13:00,1
2016-12-13 01:15:00,1
2016-12-13 01:17:00,1
2016-12-13 01:21:00,1
2016-12-13 01:23:00,1
2016-12-13 01:32:00,1
2016-12-13 01:33:00,1
2016-12-13 01:36:00,1
2016-12-13 01:37:00,1
2016-12-13 01:45:00,1
2016-12-13 01:46:00,1
2016-12-13 01:50:00,1
2016-12-13 01:54:00,1
2016-12-13 01:55:00,1
2016-12-13 01:58:00,1
2016-12-13 02:00:00,1
2016-12-13 02:04:00,1
2016-12-13 02:12:00,1
2016-12-13 02:14:00,1
2016-12-13 02:17:00,1
2016-12-13 02:18:00,1
2016-12-13 02:19:00,1
2016-12-13 02:22:00,1
2016-12-13 02:25:00,1
2016-12-13 02:28:00,1
2016-12-13 02:30:00,1
2016-12-13 02:31:00,1
2016-12-13 02:32:00,1
2016-12-13 02:33:00,1
2016-12-13 02:35:00,1
2016-12-13 02:37:00,1
2016-12-13 02:42:00,1
2016-12-13 02:43:00,1
2016-12-13 02:44:00,1
2016-12-13 02:45:00,1
2016-12-13 02:47:00,1
2016-12-13 02:48:00,1
2016-12-13 02:49:00,1
2016-12-13 02:55:00,1
2016-12-13 02:58:00,1
2016-12-13 03:02:00,1
2016-12-13 03:05:00,1
2016-12-13 03:07:00,1
2016-12-13 03:11:00,2
2016-12-13 03:14:00,1
2016-12-13 03:16:00,1
2016-12-13 03:19:00,1
2016-12-13 03:21:00,1
2016-12-13 03:25:00,1
2016-12-13 03:38:00,1
2016-12-13 03:43:00,1
2016-12-13 03:45:00,1
2016-12-13 03:48:00,1
2016-12-13 03:50:00,1
2016-12-13 03:53:00,1
2016-12-13 03:57:00,1
2016-12-13 03:59:00,1
2016-12-13 04:02:00,1
2016-12-13 04:04:00,1
2016-12-13 04:07:00,1
2016-12-13 04:10:00,1
2016-12-13 04:14:00,1
2016-12-13 04:16:00,1
2016-12-13 04:19:00,1
2016-12-13 04:21:00,1
2016-12-13 04:25:00,1
2016-12-13 04:28:00,1
2016-12-13 04:30:00,1
2016-12-13 04:33:00,1
2016-12-13 04:42:00,1
2016-12-13 04:43:00,1
2016-12-13 04:44:00,1
2016-12-13 04:46:00,1
2016-12-13 04:47:00,1
2016-12-13 04:48:00,1
2016-12-13 04:49:00,1
2016-12-13 04:54:00,1
2016-12-13 04:55:00,1
2016-12-13 04:57:00,1
2016-12-13 04:59:00,1
2016-12-13 05:04:00,1
2016-12-13 05:07:00,2
2016-12-13 05:09:00,1
2016-12-13 05:10:00,1
2016-12-13 05:19:00,1
2016-12-13 05:21:00,1
2016-12-13 05:22:00,1
2016-12-13 05:28:00,1
