197,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-02 05:00:00,6
2017-01-02 05:02:00,7
2017-01-02 05:05:00,7
2017-01-02 05:07:00,6
2017-01-02 05:10:00,6
2017-01-02 05:13:00,7
2017-01-02 05:15:00,8
2017-01-02 05:18:00,7
2017-01-02 05:20:00,8
2017-01-02 05:23:00,8
2017-01-02 05:26:00,7
2017-01-02 05:28:00,8
2017-01-02 05:31:00,8
2017-01-02 05:33:00,9
2017-01-02 05:36:00,8
2017-01-02 05:39:00,9
2017-01-02 05:41:00,9
2017-01-02 05:44:00,9
2017-01-02 05:46:00,10
2017-01-02 05:49:00,10
2017-01-02 05:52:00,10
2017-01-02 05:54:00,10
2017-01-02 05:57:00,10
2017-01-02 06:00:00,10
