195,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2017-01-02 05:00:00,7
2017-01-02 05:02:00,6
2017-01-02 05:05:00,6
2017-01-02 05:07:00,8
2017-01-02 05:10:00,7
2017-01-02 05:13:00,7
2017-01-02 05:15:00,7
2017-01-02 05:18:00,7
2017-01-02 05:20:00,7
2017-01-02 05:23:00,8
2017-01-02 05:26:00,8
2017-01-02 05:28:00,7
2017-01-02 05:31:00,8
2017-01-02 05:33:00,8
2017-01-02 05:36:00,10
2017-01-02 05:39:00,9
2017-01-02 05:41:00,9
2017-01-02 05:44:00,9
2017-01-02 05:46:00,9
2017-01-02 05:49:00,9
2017-01-02 05:52:00,10
2017-01-02 05:54:00,9
2017-01-02 05:57:00,10
2017-01-02 06:00:00,10
