350,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-24 05:00:00,16
2016-12-24 05:01:00,15
2016-12-24 05:02:00,15
2016-12-24 05:03:00,16
2016-12-24 05:04:00,16
2016-12-24 05:05:00,9
2016-12-24 05:06:00,18
2016-12-24 05:07:00,18
2016-12-24 05:08:00,22
2016-12-24 05:09:00,17
2016-12-24 05:10:00,26
2016-12-24 05:11:00,14
2016-12-24 05:12:00,30
2016-12-24 05:13:00,29
2016-12-24 05:14:00,31
2016-12-24 05:15:00,29
2016-12-24 05:16:00,15
2016-12-24 05:17:00,14
