339,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2016-12-24 05:00:00,16
2016-12-24 05:01:00,15
2016-12-24 05:02:00,16
2016-12-24 05:03:00,14
2016-12-24 05:04:00,18
2016-12-24 05:05:00,9
2016-12-24 05:06:00,17
2016-12-24 05:07:00,17
2016-12-24 05:08:00,20
2016-12-24 05:09:00,17
2016-12-24 05:10:00,25
2016-12-24 05:11:00,14
2016-12-24 05:12:00,29
2016-12-24 05:13:00,31
2016-12-24 05:14:00,30
2016-12-24 05:15:00,30
2016-12-24 05:16:00,14
2016-12-24 05:17:00,7
