359,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2017-01-21 05:00:00,14
2017-01-21 05:01:00,15
2017-01-21 05:02:00,15
2017-01-21 05:03:00,15
2017-01-21 05:04:00,16
2017-01-21 05:05:00,9
2017-01-21 05:06:00,18
2017-01-21 05:07:00,18
2017-01-21 05:08:00,22
2017-01-21 05:09:00,23
2017-01-21 05:10:00,27
2017-01-21 05:11:00,14
2017-01-21 05:12:00,30
2017-01-21 05:13:00,31
2017-01-21 05:14:00,32
2017-01-21 05:15:00,30
2017-01-21 05:16:00,17
2017-01-21 05:17:00,13
