344,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2017-01-21 05:00:00,15
2017-01-21 05:01:00,15
2017-01-21 05:02:00,15
2017-01-21 05:03:00,15
2017-01-21 05:04:00,15
2017-01-21 05:05:00,9
2017-01-21 05:06:00,17
2017-01-21 05:07:00,18
2017-01-21 05:08:00,22
2017-01-21 05:09:00,25
2017-01-21 05:10:00,27
2017-01-21 05:11:00,14
2017-01-21 05:12:00,30
2017-01-21 05:13:00,31
2017-01-21 05:14:00,30
2017-01-21 05:15:00,31
2017-01-21 05:16:00,15
