357,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-17 05:00:00,14
2016-12-17 05:01:00,14
2016-12-17 05:02:00,15
2016-12-17 05:03:00,18
2016-12-17 05:04:00,21
2016-12-17 05:05:00,9
2016-12-17 05:06:00,18
2016-12-17 05:07:00,18
2016-12-17 05:08:00,17
2016-12-17 05:09:00,20
2016-12-17 05:10:00,23
2016-12-17 05:11:00,13
2016-12-17 05:12:00,25
2016-12-17 05:13:00,27
2016-12-17 05:14:00,30
2016-12-17 05:15:00,30
2016-12-17 05:16:00,30
2016-12-17 05:17:00,15
