335,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2016-12-04 05:00:00,6
2016-12-04 05:01:00,5
2016-12-04 05:02:00,6
2016-12-04 05:03:00,6
2016-12-04 05:04:00,6
2016-12-04 05:05:00,6
2016-12-04 05:06:00,3
2016-12-04 05:07:00,5
2016-12-04 05:08:00,6
2016-12-04 05:09:00,8
2016-12-04 05:10:00,8
2016-12-04 05:11:00,8
2016-12-04 05:12:00,8
2016-12-04 05:13:00,5
2016-12-04 05:14:00,10
2016-12-04 05:15:00,14
2016-12-04 05:16:00,18
2016-12-04 05:17:00,17
2016-12-04 05:18:00,19
2016-12-04 05:19:00,10
2016-12-04 05:20:00,19
2016-12-04 05:21:00,18
2016-12-04 05:22:00,18
2016-12-04 05:23:00,18
2016-12-04 05:24:00,16
2016-12-04 05:25:00,17
2016-12-04 05:26:00,8
2016-12-04 05:27:00,16
2016-12-04 05:28:00,16
2016-12-04 05:29:00,15
