332,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-04 05:00:00,6
2016-12-04 05:01:00,5
2016-12-04 05:02:00,6
2016-12-04 05:03:00,6
2016-12-04 05:04:00,5
2016-12-04 05:05:00,6
2016-12-04 05:06:00,2
2016-12-04 05:07:00,6
2016-12-04 05:08:00,6
2016-12-04 05:09:00,8
2016-12-04 05:10:00,7
2016-12-04 05:11:00,8
2016-12-04 05:12:00,9
2016-12-04 05:13:00,5
2016-12-04 05:14:00,9
2016-12-04 05:15:00,14
2016-12-04 05:16:00,18
2016-12-04 05:17:00,17
2016-12-04 05:18:00,17
2016-12-04 05:19:00,9
2016-12-04 05:20:00,18
2016-12-04 05:21:00,18
2016-12-04 05:22:00,18
2016-12-04 05:23:00,18
2016-12-04 05:24:00,18
2016-12-04 05:25:00,17
2016-12-04 05:26:00,8
2016-12-04 05:27:00,16
2016-12-04 05:28:00,16
2016-12-04 05:29:00,16
