195,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2017-01-21 05:00:00,7
2017-01-21 05:02:00,7
2017-01-21 05:05:00,8
2017-01-21 05:07:00,8
2017-01-21 05:10:00,8
2017-01-21 05:13:00,8
2017-01-21 05:15:00,9
2017-01-21 05:18:00,8
2017-01-21 05:20:00,9
2017-01-21 05:23:00,9
2017-01-21 05:26:00,9
2017-01-21 05:28:00,11
2017-01-21 05:31:00,10
2017-01-21 05:34:00,11
2017-01-21 05:36:00,10
2017-01-21 05:39:00,11
2017-01-21 05:41:00,7
2017-01-21 05:42:00,4
2017-01-21 05:44:00,12
2017-01-21 05:47:00,12
2017-01-21 05:49:00,11
2017-01-21 05:52:00,6
