16,"INSERT INTO m.avl  (agency_id, trip_id, route_id, avl_lat, avl_lon, vehicle_id, destination_id, avl_time_hour, avl_time_minute, avl_date, route_short_name, block_ref) VALUES (#, @@@, @@@,#,#,#,#,#,#,&&&, @@@, @@@)"
2017-01-21 05:05:00,1
2017-01-21 05:07:00,1
2017-01-21 05:10:00,1
2017-01-21 05:13:00,1
2017-01-21 05:15:00,1
2017-01-21 05:20:00,1
2017-01-21 05:26:00,1
2017-01-21 05:28:00,1
2017-01-21 05:31:00,1
2017-01-21 05:34:00,1
2017-01-21 05:36:00,1
2017-01-21 05:39:00,1
2017-01-21 05:42:00,1
2017-01-21 05:44:00,1
2017-01-21 05:47:00,1
2017-01-21 05:49:00,1
