196,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2017-01-21 05:00:00,6
2017-01-21 05:02:00,9
2017-01-21 05:05:00,8
2017-01-21 05:07:00,8
2017-01-21 05:10:00,8
2017-01-21 05:13:00,9
2017-01-21 05:15:00,9
2017-01-21 05:18:00,9
2017-01-21 05:20:00,9
2017-01-21 05:23:00,9
2017-01-21 05:26:00,10
2017-01-21 05:28:00,10
2017-01-21 05:31:00,10
2017-01-21 05:34:00,10
2017-01-21 05:36:00,11
2017-01-21 05:39:00,11
2017-01-21 05:41:00,7
2017-01-21 05:42:00,4
2017-01-21 05:44:00,11
2017-01-21 05:47:00,11
2017-01-21 05:49:00,12
2017-01-21 05:52:00,5
