333,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2017-01-14 05:00:00,15
2017-01-14 05:01:00,16
2017-01-14 05:02:00,13
2017-01-14 05:03:00,14
2017-01-14 05:04:00,13
2017-01-14 05:05:00,7
2017-01-14 05:06:00,16
2017-01-14 05:07:00,16
2017-01-14 05:08:00,20
2017-01-14 05:09:00,22
2017-01-14 05:10:00,26
2017-01-14 05:11:00,13
2017-01-14 05:12:00,27
2017-01-14 05:13:00,29
2017-01-14 05:14:00,30
2017-01-14 05:15:00,28
2017-01-14 05:16:00,28
