348,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2017-01-14 05:00:00,14
2017-01-14 05:01:00,14
2017-01-14 05:02:00,14
2017-01-14 05:03:00,14
2017-01-14 05:04:00,14
2017-01-14 05:05:00,7
2017-01-14 05:06:00,18
2017-01-14 05:07:00,16
2017-01-14 05:08:00,20
2017-01-14 05:09:00,22
2017-01-14 05:10:00,26
2017-01-14 05:11:00,13
2017-01-14 05:12:00,28
2017-01-14 05:13:00,30
2017-01-14 05:14:00,28
2017-01-14 05:15:00,29
2017-01-14 05:16:00,28
2017-01-14 05:17:00,13
