54,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2017-01-09 00:05:00,1
2017-01-09 00:07:00,1
2017-01-09 00:16:00,1
2017-01-09 00:18:00,1
2017-01-09 00:27:00,1
2017-01-09 00:29:00,1
2017-01-09 00:33:00,1
2017-01-09 00:50:00,1
2017-01-09 00:52:00,1
2017-01-09 00:54:00,1
2017-01-09 00:58:00,1
2017-01-09 01:04:00,1
2017-01-09 01:10:00,1
2017-01-09 01:12:00,1
2017-01-09 01:17:00,1
2017-01-09 01:35:00,1
2017-01-09 01:47:00,1
2017-01-09 02:02:00,1
2017-01-09 02:04:00,1
2017-01-09 02:10:00,1
2017-01-09 02:14:00,1
2017-01-09 02:20:00,1
2017-01-09 02:22:00,1
2017-01-09 02:24:00,1
2017-01-09 02:28:00,1
2017-01-09 02:30:00,1
2017-01-09 02:38:00,1
2017-01-09 02:49:00,1
2017-01-09 02:51:00,1
2017-01-09 02:57:00,1
2017-01-09 02:59:00,1
2017-01-09 03:07:00,1
2017-01-09 03:11:00,1
2017-01-09 03:13:00,1
2017-01-09 03:14:00,1
2017-01-09 03:16:00,1
2017-01-09 03:24:00,1
2017-01-09 03:31:00,1
2017-01-09 03:35:00,1
2017-01-09 03:37:00,1
2017-01-09 03:43:00,1
2017-01-09 03:45:00,1
2017-01-09 03:51:00,1
2017-01-09 04:03:00,1
2017-01-09 04:05:00,1
2017-01-09 04:11:00,1
2017-01-09 04:13:00,1
2017-01-09 04:24:00,1
2017-01-09 04:32:00,1
2017-01-09 04:34:00,1
2017-01-09 04:40:00,1
2017-01-09 04:42:00,1
2017-01-09 04:52:00,1
2017-01-09 05:02:00,1
