177,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-01 05:00:00,6
2017-01-01 05:02:00,6
2017-01-01 05:05:00,7
2017-01-01 05:07:00,6
2017-01-01 05:10:00,7
2017-01-01 05:12:00,1
2017-01-01 05:13:00,6
2017-01-01 05:15:00,7
2017-01-01 05:18:00,8
2017-01-01 05:20:00,7
2017-01-01 05:23:00,8
2017-01-01 05:25:00,7
2017-01-01 05:28:00,8
2017-01-01 05:31:00,8
2017-01-01 05:33:00,8
2017-01-01 05:36:00,8
2017-01-01 05:39:00,8
2017-01-01 05:41:00,9
2017-01-01 05:44:00,9
2017-01-01 05:46:00,9
2017-01-01 05:49:00,9
2017-01-01 05:52:00,10
2017-01-01 05:54:00,10
2017-01-01 05:57:00,5
