45,select #
2017-01-01 00:35:00,1
2017-01-01 00:38:00,1
2017-01-01 00:42:00,1
2017-01-01 00:49:00,1
2017-01-01 01:05:00,1
2017-01-01 01:06:00,1
2017-01-01 01:07:00,1
2017-01-01 01:34:00,1
2017-01-01 01:36:00,1
2017-01-01 01:37:00,1
2017-01-01 01:44:00,1
2017-01-01 02:07:00,1
2017-01-01 02:12:00,1
2017-01-01 02:20:00,1
2017-01-01 02:23:00,1
2017-01-01 02:31:00,1
2017-01-01 02:33:00,1
2017-01-01 02:41:00,1
2017-01-01 02:48:00,1
2017-01-01 02:52:00,1
2017-01-01 02:55:00,1
2017-01-01 03:01:00,1
2017-01-01 03:09:00,1
2017-01-01 03:33:00,1
2017-01-01 03:38:00,1
2017-01-01 03:49:00,1
2017-01-01 04:12:00,1
2017-01-01 04:25:00,1
2017-01-01 04:31:00,1
2017-01-01 04:43:00,1
2017-01-01 04:45:00,1
2017-01-01 04:52:00,1
2017-01-01 04:53:00,1
2017-01-01 04:55:00,1
2017-01-01 05:00:00,1
2017-01-01 05:01:00,1
2017-01-01 05:09:00,1
2017-01-01 05:14:00,1
2017-01-01 05:17:00,1
2017-01-01 05:20:00,1
2017-01-01 05:32:00,1
2017-01-01 05:37:00,1
2017-01-01 05:40:00,1
2017-01-01 05:42:00,1
2017-01-01 05:51:00,1
