197,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2017-01-14 00:00:00,5
2017-01-14 05:00:00,7
2017-01-14 05:02:00,7
2017-01-14 05:05:00,8
2017-01-14 05:07:00,8
2017-01-14 05:10:00,8
2017-01-14 05:13:00,8
2017-01-14 05:15:00,9
2017-01-14 05:18:00,8
2017-01-14 05:20:00,9
2017-01-14 05:23:00,10
2017-01-14 05:26:00,10
2017-01-14 05:28:00,9
2017-01-14 05:31:00,10
2017-01-14 05:34:00,10
2017-01-14 05:36:00,11
2017-01-14 05:39:00,11
2017-01-14 05:42:00,11
2017-01-14 05:44:00,11
2017-01-14 05:47:00,12
2017-01-14 05:50:00,12
2017-01-14 05:52:00,3
