196,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2017-01-14 00:00:00,5
2017-01-14 05:00:00,8
2017-01-14 05:02:00,8
2017-01-14 05:05:00,7
2017-01-14 05:07:00,8
2017-01-14 05:10:00,8
2017-01-14 05:13:00,8
2017-01-14 05:15:00,8
2017-01-14 05:18:00,8
2017-01-14 05:20:00,8
2017-01-14 05:23:00,9
2017-01-14 05:26:00,9
2017-01-14 05:28:00,10
2017-01-14 05:31:00,10
2017-01-14 05:34:00,10
2017-01-14 05:36:00,10
2017-01-14 05:39:00,11
2017-01-14 05:42:00,11
2017-01-14 05:44:00,12
2017-01-14 05:47:00,12
2017-01-14 05:50:00,12
2017-01-14 05:52:00,4
