69,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2017-01-24 00:01:00,1
2017-01-24 00:05:00,1
2017-01-24 00:08:00,1
2017-01-24 00:13:00,1
2017-01-24 00:18:00,1
2017-01-24 00:35:00,1
2017-01-24 00:36:00,1
2017-01-24 00:38:00,1
2017-01-24 00:44:00,1
2017-01-24 00:49:00,1
2017-01-24 00:54:00,1
2017-01-24 01:00:00,1
2017-01-24 01:09:00,1
2017-01-24 01:11:00,1
2017-01-24 01:13:00,1
2017-01-24 01:15:00,1
2017-01-24 01:20:00,1
2017-01-24 01:25:00,1
2017-01-24 01:27:00,1
2017-01-24 01:32:00,1
2017-01-24 01:39:00,1
2017-01-24 01:47:00,1
2017-01-24 01:53:00,1
2017-01-24 01:58:00,1
2017-01-24 02:09:00,1
2017-01-24 02:18:00,1
2017-01-24 02:21:00,1
2017-01-24 02:22:00,1
2017-01-24 02:28:00,1
2017-01-24 02:33:00,1
2017-01-24 02:38:00,1
2017-01-24 02:42:00,1
2017-01-24 02:43:00,1
2017-01-24 02:45:00,1
2017-01-24 02:46:00,1
2017-01-24 02:49:00,1
2017-01-24 02:52:00,1
2017-01-24 02:55:00,1
2017-01-24 02:58:00,1
2017-01-24 03:00:00,1
2017-01-24 03:25:00,1
2017-01-24 03:27:00,1
2017-01-24 03:41:00,1
2017-01-24 03:42:00,1
2017-01-24 03:45:00,1
2017-01-24 03:47:00,1
2017-01-24 03:55:00,1
2017-01-24 04:00:00,1
2017-01-24 04:01:00,1
2017-01-24 04:03:00,1
2017-01-24 04:12:00,1
2017-01-24 04:14:00,1
2017-01-24 04:17:00,1
2017-01-24 04:19:00,1
2017-01-24 04:23:00,1
2017-01-24 04:30:00,1
2017-01-24 04:31:00,1
2017-01-24 04:46:00,1
2017-01-24 04:50:00,1
2017-01-24 04:52:00,1
2017-01-24 04:54:00,1
2017-01-24 04:57:00,1
2017-01-24 04:59:00,1
2017-01-24 05:06:00,1
2017-01-24 05:08:00,1
2017-01-24 05:14:00,1
2017-01-24 05:20:00,1
2017-01-24 05:21:00,1
2017-01-24 05:26:00,1
