85,"select st.trip_id, st.stop_sequence, st.estimate_source, st.fullness, st.departure_time_hour, st.departure_time_minute, s.stop_lat, s.stop_lon, t.direction_id, t.route_id, r.route_short_name from m.stop AS s RIGHT JOIN m.stop_time AS st  ON st.agency_id = s.agency_id AND st.stop_id = s.stop_id LEFT JOIN m.trip AS t ON t.agency_id = st.agency_id AND t.trip_id = st.trip_id LEFT JOIN m.route AS r ON t.agency_id = r.agency_id AND t.route_id = r.route_id WHERE st.estimate_source in ( @@@,  @@@) AND st.agency_id = $# AND (((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)) OR ((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)))  order by st.stop_sequence"
2016-12-30 00:01:00,1
2016-12-30 00:04:00,1
2016-12-30 00:06:00,1
2016-12-30 00:10:00,1
2016-12-30 00:12:00,1
2016-12-30 00:13:00,1
2016-12-30 00:17:00,1
2016-12-30 00:19:00,1
2016-12-30 00:21:00,1
2016-12-30 00:23:00,1
2016-12-30 00:24:00,1
2016-12-30 00:29:00,1
2016-12-30 00:34:00,1
2016-12-30 00:37:00,1
2016-12-30 00:39:00,1
2016-12-30 00:45:00,1
2016-12-30 00:48:00,1
2016-12-30 00:50:00,1
2016-12-30 00:52:00,1
2016-12-30 00:58:00,1
2016-12-30 01:01:00,1
2016-12-30 01:04:00,1
2016-12-30 01:07:00,1
2016-12-30 01:09:00,1
2016-12-30 01:14:00,1
2016-12-30 01:15:00,1
2016-12-30 01:16:00,1
2016-12-30 01:18:00,1
2016-12-30 01:19:00,1
2016-12-30 01:20:00,1
2016-12-30 01:21:00,1
2016-12-30 01:23:00,1
2016-12-30 01:24:00,1
2016-12-30 01:33:00,1
2016-12-30 01:35:00,1
2016-12-30 01:36:00,1
2016-12-30 01:37:00,1
2016-12-30 01:40:00,1
2016-12-30 01:41:00,1
2016-12-30 01:45:00,1
2016-12-30 01:47:00,1
2016-12-30 01:48:00,1
2016-12-30 01:50:00,1
2016-12-30 01:51:00,1
2016-12-30 01:52:00,1
2016-12-30 02:03:00,1
2016-12-30 02:06:00,1
2016-12-30 02:09:00,1
2016-12-30 02:14:00,1
2016-12-30 02:15:00,1
2016-12-30 02:18:00,1
2016-12-30 02:20:00,1
2016-12-30 02:26:00,1
2016-12-30 02:29:00,1
2016-12-30 02:31:00,1
2016-12-30 02:39:00,1
2016-12-30 02:41:00,1
2016-12-30 02:42:00,1
2016-12-30 02:43:00,1
2016-12-30 02:44:00,1
2016-12-30 02:46:00,1
2016-12-30 02:48:00,1
2016-12-30 02:50:00,1
2016-12-30 02:51:00,1
2016-12-30 02:52:00,1
2016-12-30 02:58:00,1
2016-12-30 02:59:00,1
2016-12-30 03:04:00,1
2016-12-30 03:09:00,1
2016-12-30 03:19:00,1
2016-12-30 03:21:00,1
2016-12-30 03:25:00,1
2016-12-30 03:27:00,1
2016-12-30 03:39:00,1
2016-12-30 03:42:00,1
2016-12-30 03:44:00,1
2016-12-30 03:54:00,1
2016-12-30 04:08:00,1
2016-12-30 04:29:00,1
2016-12-30 04:31:00,1
2016-12-30 04:39:00,1
2016-12-30 04:44:00,1
2016-12-30 04:47:00,1
2016-12-30 04:56:00,1
2016-12-30 04:58:00,1
