63,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2017-01-06 00:01:00,1
2017-01-06 00:03:00,1
2017-01-06 00:10:00,1
2017-01-06 00:13:00,1
2017-01-06 00:18:00,1
2017-01-06 00:21:00,1
2017-01-06 00:23:00,1
2017-01-06 00:24:00,1
2017-01-06 00:35:00,1
2017-01-06 00:39:00,1
2017-01-06 00:44:00,1
2017-01-06 00:50:00,1
2017-01-06 00:55:00,1
2017-01-06 00:58:00,1
2017-01-06 01:00:00,1
2017-01-06 01:09:00,1
2017-01-06 01:37:00,1
2017-01-06 01:38:00,1
2017-01-06 01:48:00,1
2017-01-06 01:58:00,1
2017-01-06 02:01:00,1
2017-01-06 02:05:00,1
2017-01-06 02:09:00,1
2017-01-06 02:11:00,1
2017-01-06 02:12:00,1
2017-01-06 02:19:00,1
2017-01-06 02:22:00,1
2017-01-06 02:33:00,1
2017-01-06 02:34:00,1
2017-01-06 02:39:00,1
2017-01-06 02:41:00,1
2017-01-06 02:44:00,1
2017-01-06 02:46:00,1
2017-01-06 02:50:00,1
2017-01-06 02:52:00,1
2017-01-06 03:07:00,1
2017-01-06 03:09:00,1
2017-01-06 03:10:00,1
2017-01-06 03:13:00,1
2017-01-06 03:15:00,1
2017-01-06 03:29:00,1
2017-01-06 03:31:00,1
2017-01-06 03:35:00,1
2017-01-06 03:43:00,1
2017-01-06 03:47:00,1
2017-01-06 03:49:00,1
2017-01-06 03:59:00,1
2017-01-06 04:12:00,1
2017-01-06 04:27:00,1
2017-01-06 04:48:00,1
2017-01-06 04:50:00,1
2017-01-06 04:54:00,1
2017-01-06 04:57:00,1
2017-01-06 04:58:00,1
2017-01-06 05:04:00,1
2017-01-06 05:06:00,1
2017-01-06 05:08:00,1
2017-01-06 05:11:00,1
2017-01-06 05:14:00,1
2017-01-06 05:16:00,1
2017-01-06 05:25:00,1
2017-01-06 05:27:00,1
2017-01-06 05:28:00,1
