654,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2017-01-01 05:00:00,7
2017-01-01 05:01:00,7
2017-01-01 05:02:00,6
2017-01-01 05:03:00,8
2017-01-01 05:04:00,8
2017-01-01 05:05:00,8
2017-01-01 05:06:00,7
2017-01-01 05:07:00,3
2017-01-01 05:08:00,8
2017-01-01 05:09:00,8
2017-01-01 05:10:00,8
2017-01-01 05:11:00,9
2017-01-01 05:12:00,9
2017-01-01 05:13:00,12
2017-01-01 05:14:00,6
2017-01-01 05:15:00,16
2017-01-01 05:16:00,19
2017-01-01 05:17:00,18
2017-01-01 05:18:00,18
2017-01-01 05:19:00,18
2017-01-01 05:20:00,17
2017-01-01 05:21:00,18
2017-01-01 05:22:00,10
2017-01-01 05:23:00,20
2017-01-01 05:24:00,20
2017-01-01 05:25:00,20
2017-01-01 05:26:00,20
2017-01-01 05:27:00,18
2017-01-01 05:28:00,18
2017-01-01 05:29:00,9
2017-01-01 05:30:00,17
2017-01-01 05:31:00,20
2017-01-01 05:32:00,20
2017-01-01 05:33:00,20
2017-01-01 05:34:00,20
2017-01-01 05:35:00,9
2017-01-01 05:36:00,20
2017-01-01 05:37:00,19
2017-01-01 05:38:00,18
2017-01-01 05:39:00,18
2017-01-01 05:40:00,19
2017-01-01 05:41:00,20
2017-01-01 05:42:00,10
2017-01-01 05:43:00,25
2017-01-01 05:44:00,26
