197,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-15 05:00:00,7
2017-01-15 05:02:00,7
2017-01-15 05:05:00,7
2017-01-15 05:07:00,7
2017-01-15 05:10:00,7
2017-01-15 05:13:00,7
2017-01-15 05:15:00,7
2017-01-15 05:18:00,7
2017-01-15 05:20:00,8
2017-01-15 05:23:00,8
2017-01-15 05:26:00,9
2017-01-15 05:28:00,9
2017-01-15 05:31:00,8
2017-01-15 05:33:00,9
2017-01-15 05:36:00,9
2017-01-15 05:39:00,9
2017-01-15 05:41:00,9
2017-01-15 05:44:00,10
2017-01-15 05:46:00,9
2017-01-15 05:49:00,10
2017-01-15 05:52:00,10
2017-01-15 05:54:00,10
2017-01-15 05:57:00,10
2017-01-15 06:00:00,4
