197,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2017-01-15 05:00:00,6
2017-01-15 05:02:00,6
2017-01-15 05:05:00,6
2017-01-15 05:07:00,7
2017-01-15 05:10:00,7
2017-01-15 05:13:00,7
2017-01-15 05:15:00,8
2017-01-15 05:18:00,8
2017-01-15 05:20:00,8
2017-01-15 05:23:00,8
2017-01-15 05:26:00,8
2017-01-15 05:28:00,8
2017-01-15 05:31:00,8
2017-01-15 05:33:00,10
2017-01-15 05:36:00,9
2017-01-15 05:39:00,9
2017-01-15 05:41:00,9
2017-01-15 05:44:00,9
2017-01-15 05:46:00,10
2017-01-15 05:49:00,10
2017-01-15 05:52:00,10
2017-01-15 05:54:00,10
2017-01-15 05:57:00,11
2017-01-15 06:00:00,5
