356,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-31 05:00:00,10
2016-12-31 05:01:00,9
2016-12-31 05:02:00,10
2016-12-31 05:03:00,10
2016-12-31 05:04:00,10
2016-12-31 05:05:00,10
2016-12-31 05:06:00,8
2016-12-31 05:07:00,19
2016-12-31 05:08:00,18
2016-12-31 05:09:00,20
2016-12-31 05:10:00,23
2016-12-31 05:11:00,27
2016-12-31 05:12:00,14
2016-12-31 05:13:00,27
2016-12-31 05:14:00,27
2016-12-31 05:15:00,30
2016-12-31 05:16:00,28
2016-12-31 05:17:00,14
2016-12-31 05:18:00,28
2016-12-31 05:19:00,14
