339,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2016-12-31 05:00:00,10
2016-12-31 05:01:00,10
2016-12-31 05:02:00,9
2016-12-31 05:03:00,10
2016-12-31 05:04:00,10
2016-12-31 05:05:00,11
2016-12-31 05:06:00,9
2016-12-31 05:07:00,18
2016-12-31 05:08:00,16
2016-12-31 05:09:00,18
2016-12-31 05:10:00,25
2016-12-31 05:11:00,25
2016-12-31 05:12:00,13
2016-12-31 05:13:00,27
2016-12-31 05:14:00,27
2016-12-31 05:15:00,30
2016-12-31 05:16:00,29
2016-12-31 05:17:00,14
2016-12-31 05:18:00,28
