14,"INSERT INTO m.avl  (agency_id, trip_id, route_id, avl_lat, avl_lon, vehicle_id, destination_id, avl_time_hour, avl_time_minute, avl_date, route_short_name, block_ref) VALUES (#, @@@, @@@,#,#,#,#,#,#,&&&, @@@, @@@)"
2016-12-03 05:00:00,1
2016-12-03 05:02:00,1
2016-12-03 05:05:00,1
2016-12-03 05:10:00,1
2016-12-03 05:13:00,1
2016-12-03 05:15:00,1
2016-12-03 05:23:00,1
2016-12-03 05:26:00,1
2016-12-03 05:28:00,1
2016-12-03 05:31:00,1
2016-12-03 05:36:00,1
2016-12-03 05:39:00,1
2016-12-03 05:41:00,1
2016-12-03 05:44:00,1
