179,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2016-12-02 05:00:00,11
2016-12-02 05:02:00,12
2016-12-02 05:05:00,12
2016-12-02 05:08:00,13
2016-12-02 05:11:00,13
2016-12-02 05:13:00,14
2016-12-02 05:16:00,15
2016-12-02 05:19:00,16
2016-12-02 05:22:00,16
2016-12-02 05:25:00,20
2016-12-02 05:28:00,19
2016-12-02 05:31:00,18
