177,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2016-12-02 05:00:00,10
2016-12-02 05:02:00,12
2016-12-02 05:05:00,13
2016-12-02 05:08:00,13
2016-12-02 05:11:00,15
2016-12-02 05:13:00,14
2016-12-02 05:16:00,15
2016-12-02 05:19:00,16
2016-12-02 05:22:00,17
2016-12-02 05:25:00,16
2016-12-02 05:28:00,18
2016-12-02 05:31:00,18
