335,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2017-01-22 05:00:00,8
2017-01-22 05:01:00,8
2017-01-22 05:02:00,8
2017-01-22 05:03:00,8
2017-01-22 05:04:00,8
2017-01-22 05:05:00,9
2017-01-22 05:06:00,5
2017-01-22 05:07:00,10
2017-01-22 05:08:00,10
2017-01-22 05:09:00,9
2017-01-22 05:10:00,9
2017-01-22 05:11:00,12
2017-01-22 05:12:00,13
2017-01-22 05:13:00,7
2017-01-22 05:14:00,15
2017-01-22 05:15:00,18
2017-01-22 05:16:00,18
2017-01-22 05:17:00,20
2017-01-22 05:18:00,18
2017-01-22 05:19:00,9
2017-01-22 05:20:00,18
2017-01-22 05:21:00,18
2017-01-22 05:22:00,21
2017-01-22 05:23:00,21
2017-01-22 05:24:00,21
2017-01-22 05:25:00,10
2017-01-22 05:26:00,4
