342,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2016-12-03 05:00:00,16
2016-12-03 05:01:00,16
2016-12-03 05:02:00,14
2016-12-03 05:03:00,16
2016-12-03 05:04:00,18
2016-12-03 05:05:00,10
2016-12-03 05:06:00,20
2016-12-03 05:07:00,20
2016-12-03 05:08:00,22
2016-12-03 05:09:00,22
2016-12-03 05:10:00,25
2016-12-03 05:11:00,12
2016-12-03 05:12:00,24
2016-12-03 05:13:00,26
2016-12-03 05:14:00,26
2016-12-03 05:15:00,28
2016-12-03 05:16:00,27
