346,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-03 05:00:00,16
2016-12-03 05:01:00,15
2016-12-03 05:02:00,16
2016-12-03 05:03:00,16
2016-12-03 05:04:00,18
2016-12-03 05:05:00,10
2016-12-03 05:06:00,19
2016-12-03 05:07:00,21
2016-12-03 05:08:00,22
2016-12-03 05:09:00,22
2016-12-03 05:10:00,24
2016-12-03 05:11:00,12
2016-12-03 05:12:00,24
2016-12-03 05:13:00,26
2016-12-03 05:14:00,26
2016-12-03 05:15:00,26
2016-12-03 05:16:00,27
2016-12-03 05:17:00,6
