92,"select st.trip_id, st.stop_sequence, st.estimate_source, st.fullness, st.departure_time_hour, st.departure_time_minute, s.stop_lat, s.stop_lon, t.direction_id, t.route_id, r.route_short_name from m.stop AS s RIGHT JOIN m.stop_time AS st  ON st.agency_id = s.agency_id AND st.stop_id = s.stop_id LEFT JOIN m.trip AS t ON t.agency_id = st.agency_id AND t.trip_id = st.trip_id LEFT JOIN m.route AS r ON t.agency_id = r.agency_id AND t.route_id = r.route_id WHERE st.estimate_source in ( @@@,  @@@) AND st.agency_id = $# AND (((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)) OR ((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)))  order by st.stop_sequence"
2016-12-11 00:02:00,1
2016-12-11 00:19:00,1
2016-12-11 00:23:00,1
2016-12-11 00:24:00,1
2016-12-11 00:25:00,1
2016-12-11 00:31:00,1
2016-12-11 00:34:00,1
2016-12-11 00:36:00,1
2016-12-11 00:39:00,1
2016-12-11 00:42:00,1
2016-12-11 00:48:00,1
2016-12-11 00:50:00,1
2016-12-11 00:51:00,1
2016-12-11 00:56:00,1
2016-12-11 01:00:00,1
2016-12-11 01:03:00,1
2016-12-11 01:09:00,1
2016-12-11 01:12:00,1
2016-12-11 01:14:00,1
2016-12-11 01:18:00,1
2016-12-11 01:19:00,1
2016-12-11 01:20:00,1
2016-12-11 01:25:00,1
2016-12-11 01:42:00,1
2016-12-11 01:45:00,1
2016-12-11 01:47:00,1
2016-12-11 01:59:00,1
2016-12-11 02:02:00,1
2016-12-11 02:04:00,1
2016-12-11 02:07:00,1
2016-12-11 02:08:00,1
2016-12-11 02:23:00,1
2016-12-11 02:25:00,1
2016-12-11 02:28:00,1
2016-12-11 02:30:00,1
2016-12-11 02:33:00,1
2016-12-11 02:35:00,1
2016-12-11 02:39:00,1
2016-12-11 02:41:00,1
2016-12-11 02:44:00,1
2016-12-11 02:46:00,1
2016-12-11 02:49:00,1
2016-12-11 02:51:00,1
2016-12-11 03:01:00,1
2016-12-11 03:10:00,1
2016-12-11 03:11:00,1
2016-12-11 03:13:00,1
2016-12-11 03:14:00,1
2016-12-11 03:15:00,1
2016-12-11 03:16:00,1
2016-12-11 03:18:00,1
2016-12-11 03:19:00,1
2016-12-11 03:20:00,1
2016-12-11 03:21:00,1
2016-12-11 03:23:00,1
2016-12-11 03:24:00,1
2016-12-11 03:26:00,1
2016-12-11 03:29:00,1
2016-12-11 03:31:00,1
2016-12-11 03:34:00,1
2016-12-11 03:36:00,1
2016-12-11 03:39:00,1
2016-12-11 03:42:00,1
2016-12-11 03:44:00,1
2016-12-11 03:47:00,1
2016-12-11 03:49:00,1
2016-12-11 03:52:00,1
2016-12-11 03:55:00,1
2016-12-11 03:58:00,1
2016-12-11 04:00:00,1
2016-12-11 04:03:00,1
2016-12-11 04:05:00,1
2016-12-11 04:08:00,1
2016-12-11 04:25:00,1
2016-12-11 04:27:00,1
2016-12-11 04:30:00,1
2016-12-11 04:32:00,1
2016-12-11 04:35:00,1
2016-12-11 04:37:00,1
2016-12-11 04:41:00,1
2016-12-11 04:43:00,1
2016-12-11 04:47:00,1
2016-12-11 04:50:00,1
2016-12-11 04:52:00,1
2016-12-11 05:01:00,1
2016-12-11 05:04:00,1
2016-12-11 05:05:00,1
2016-12-11 05:06:00,1
2016-12-11 05:08:00,1
2016-12-11 05:12:00,1
2016-12-11 05:23:00,1
2016-12-11 05:26:00,1
