257,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2017-01-08 05:00:00,6
2017-01-08 05:02:00,6
2017-01-08 05:05:00,7
2017-01-08 05:07:00,7
2017-01-08 05:10:00,7
2017-01-08 05:12:00,7
2017-01-08 05:15:00,7
2017-01-08 05:18:00,7
2017-01-08 05:20:00,7
2017-01-08 05:23:00,7
2017-01-08 05:25:00,7
2017-01-08 05:28:00,9
2017-01-08 05:31:00,8
2017-01-08 05:33:00,9
2017-01-08 05:36:00,9
2017-01-08 05:38:00,9
2017-01-08 05:41:00,9
2017-01-08 05:43:00,9
2017-01-08 05:46:00,9
2017-01-08 05:49:00,9
2017-01-08 05:51:00,9
2017-01-08 05:54:00,10
2017-01-08 05:56:00,10
2017-01-08 05:59:00,10
2017-01-08 06:02:00,11
2017-01-08 06:04:00,11
2017-01-08 06:07:00,11
2017-01-08 06:09:00,11
2017-01-08 06:12:00,11
2017-01-08 06:15:00,8
