261,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2017-01-08 05:00:00,7
2017-01-08 05:02:00,6
2017-01-08 05:05:00,6
2017-01-08 05:07:00,7
2017-01-08 05:10:00,7
2017-01-08 05:12:00,7
2017-01-08 05:15:00,7
2017-01-08 05:18:00,8
2017-01-08 05:20:00,8
2017-01-08 05:23:00,7
2017-01-08 05:25:00,9
2017-01-08 05:28:00,8
2017-01-08 05:31:00,8
2017-01-08 05:33:00,8
2017-01-08 05:36:00,8
2017-01-08 05:38:00,8
2017-01-08 05:41:00,9
2017-01-08 05:43:00,9
2017-01-08 05:46:00,10
2017-01-08 05:49:00,10
2017-01-08 05:51:00,10
2017-01-08 05:54:00,10
2017-01-08 05:56:00,10
2017-01-08 05:59:00,11
2017-01-08 06:02:00,11
2017-01-08 06:04:00,10
2017-01-08 06:07:00,11
2017-01-08 06:09:00,11
2017-01-08 06:12:00,12
2017-01-08 06:15:00,8
