176,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2016-12-14 05:00:00,12
2016-12-14 05:02:00,11
2016-12-14 05:05:00,13
2016-12-14 05:07:00,13
2016-12-14 05:10:00,14
2016-12-14 05:13:00,15
2016-12-14 05:15:00,15
2016-12-14 05:18:00,15
2016-12-14 05:21:00,15
2016-12-14 05:23:00,16
2016-12-14 05:26:00,18
2016-12-14 05:29:00,18
2016-12-14 05:31:00,1
