223,"SELECT distinct a.agency_id FROM m.agency a, m.calendar c, m.trip t WHERE c.agency_id = a.agency_id AND t.agency_id = a.agency_id AND a.avl_agency_name =  @@@ AND t.trip_id =  @@@ AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date+#)*#)) >= # "
2017-01-22 05:00:00,8
2017-01-22 05:03:00,6
2017-01-22 05:06:00,7
2017-01-22 05:09:00,6
2017-01-22 05:13:00,7
2017-01-22 05:16:00,8
2017-01-22 05:19:00,7
2017-01-22 05:22:00,8
2017-01-22 05:25:00,1
2017-01-22 05:26:00,7
2017-01-22 05:29:00,7
2017-01-22 05:32:00,9
2017-01-22 05:35:00,8
2017-01-22 05:36:00,1
2017-01-22 05:39:00,9
2017-01-22 05:42:00,9
2017-01-22 05:45:00,7
2017-01-22 05:46:00,2
2017-01-22 05:49:00,9
2017-01-22 05:52:00,9
2017-01-22 05:55:00,10
2017-01-22 05:59:00,11
2017-01-22 06:02:00,11
2017-01-22 06:05:00,3
2017-01-22 06:06:00,9
2017-01-22 06:09:00,11
2017-01-22 06:12:00,13
2017-01-22 06:16:00,12
2017-01-22 06:19:00,5
2017-01-22 06:20:00,3
