231,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-22 05:00:00,6
2017-01-22 05:03:00,6
2017-01-22 05:06:00,7
2017-01-22 05:09:00,6
2017-01-22 05:13:00,8
2017-01-22 05:16:00,7
2017-01-22 05:19:00,8
2017-01-22 05:22:00,7
2017-01-22 05:26:00,7
2017-01-22 05:29:00,9
2017-01-22 05:32:00,9
2017-01-22 05:35:00,6
2017-01-22 05:36:00,1
2017-01-22 05:39:00,9
2017-01-22 05:42:00,10
2017-01-22 05:45:00,9
2017-01-22 05:46:00,2
2017-01-22 05:49:00,10
2017-01-22 05:52:00,11
2017-01-22 05:55:00,10
2017-01-22 05:59:00,11
2017-01-22 06:02:00,12
2017-01-22 06:05:00,2
2017-01-22 06:06:00,9
2017-01-22 06:09:00,12
2017-01-22 06:12:00,12
2017-01-22 06:16:00,14
2017-01-22 06:19:00,5
2017-01-22 06:20:00,6
