65,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2017-01-23 00:00:00,1
2017-01-23 00:01:00,1
2017-01-23 00:04:00,1
2017-01-23 00:07:00,1
2017-01-23 00:13:00,1
2017-01-23 00:39:00,1
2017-01-23 00:42:00,1
2017-01-23 00:44:00,1
2017-01-23 00:51:00,1
2017-01-23 00:53:00,1
2017-01-23 00:56:00,1
2017-01-23 00:58:00,1
2017-01-23 01:00:00,1
2017-01-23 01:04:00,1
2017-01-23 01:08:00,1
2017-01-23 01:09:00,1
2017-01-23 01:11:00,1
2017-01-23 01:13:00,1
2017-01-23 01:17:00,1
2017-01-23 01:32:00,1
2017-01-23 01:34:00,1
2017-01-23 01:36:00,1
2017-01-23 01:38:00,1
2017-01-23 01:41:00,1
2017-01-23 01:43:00,1
2017-01-23 01:55:00,1
2017-01-23 02:00:00,1
2017-01-23 02:16:00,1
2017-01-23 02:23:00,1
2017-01-23 02:24:00,1
2017-01-23 02:26:00,1
2017-01-23 02:28:00,1
2017-01-23 02:37:00,1
2017-01-23 02:40:00,1
2017-01-23 02:51:00,1
2017-01-23 02:54:00,1
2017-01-23 03:01:00,1
2017-01-23 03:08:00,1
2017-01-23 03:15:00,1
2017-01-23 03:18:00,1
2017-01-23 03:27:00,1
2017-01-23 03:28:00,1
2017-01-23 03:31:00,1
2017-01-23 03:33:00,1
2017-01-23 03:36:00,1
2017-01-23 03:41:00,1
2017-01-23 03:42:00,1
2017-01-23 03:45:00,1
2017-01-23 04:01:00,1
2017-01-23 04:14:00,1
2017-01-23 04:17:00,1
2017-01-23 04:19:00,1
2017-01-23 04:21:00,1
2017-01-23 04:28:00,1
2017-01-23 04:39:00,1
2017-01-23 04:44:00,1
2017-01-23 04:50:00,1
2017-01-23 04:55:00,1
2017-01-23 04:59:00,1
2017-01-23 05:00:00,1
2017-01-23 05:02:00,1
2017-01-23 05:17:00,1
2017-01-23 05:26:00,1
2017-01-23 05:27:00,1
2017-01-23 05:28:00,1
