62,select #
2016-12-29 00:00:00,1
2016-12-29 00:01:00,1
2016-12-29 00:15:00,1
2016-12-29 00:17:00,1
2016-12-29 00:19:00,1
2016-12-29 00:29:00,1
2016-12-29 00:43:00,1
2016-12-29 00:44:00,1
2016-12-29 00:46:00,1
2016-12-29 01:05:00,1
2016-12-29 01:06:00,1
2016-12-29 01:29:00,1
2016-12-29 01:34:00,1
2016-12-29 01:35:00,1
2016-12-29 01:49:00,1
2016-12-29 01:51:00,1
2016-12-29 01:53:00,1
2016-12-29 01:55:00,1
2016-12-29 01:59:00,1
2016-12-29 02:04:00,1
2016-12-29 02:07:00,1
2016-12-29 02:09:00,1
2016-12-29 02:16:00,1
2016-12-29 02:17:00,1
2016-12-29 02:26:00,1
2016-12-29 02:28:00,1
2016-12-29 02:38:00,1
2016-12-29 02:41:00,1
2016-12-29 02:47:00,1
2016-12-29 02:49:00,1
2016-12-29 02:50:00,1
2016-12-29 02:59:00,1
2016-12-29 03:07:00,1
2016-12-29 03:21:00,1
2016-12-29 03:33:00,1
2016-12-29 03:41:00,1
2016-12-29 03:59:00,1
2016-12-29 04:01:00,1
2016-12-29 04:02:00,1
2016-12-29 04:11:00,1
2016-12-29 04:13:00,1
2016-12-29 04:14:00,1
2016-12-29 04:15:00,1
2016-12-29 04:28:00,1
2016-12-29 04:29:00,1
2016-12-29 04:30:00,1
2016-12-29 04:32:00,1
2016-12-29 04:33:00,1
2016-12-29 04:40:00,1
2016-12-29 04:42:00,1
2016-12-29 04:44:00,1
2016-12-29 04:48:00,1
2016-12-29 04:49:00,1
2016-12-29 04:53:00,1
2016-12-29 05:01:00,1
2016-12-29 05:07:00,1
2016-12-29 05:10:00,1
2016-12-29 05:21:00,1
2016-12-29 05:26:00,1
2016-12-29 05:27:00,1
2016-12-29 05:30:00,2
