669,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-25 05:00:00,8
2016-12-25 05:01:00,8
2016-12-25 05:02:00,8
2016-12-25 05:03:00,10
2016-12-25 05:04:00,10
2016-12-25 05:05:00,9
2016-12-25 05:06:00,5
2016-12-25 05:07:00,10
2016-12-25 05:08:00,10
2016-12-25 05:09:00,9
2016-12-25 05:10:00,8
2016-12-25 05:11:00,8
2016-12-25 05:12:00,9
2016-12-25 05:13:00,8
2016-12-25 05:14:00,4
2016-12-25 05:15:00,8
2016-12-25 05:16:00,10
2016-12-25 05:17:00,12
2016-12-25 05:18:00,12
2016-12-25 05:19:00,10
2016-12-25 05:20:00,11
2016-12-25 05:21:00,6
2016-12-25 05:22:00,14
2016-12-25 05:23:00,16
2016-12-25 05:24:00,14
2016-12-25 05:25:00,14
2016-12-25 05:26:00,14
2016-12-25 05:27:00,14
2016-12-25 05:28:00,13
2016-12-25 05:29:00,7
2016-12-25 05:30:00,15
2016-12-25 05:31:00,16
2016-12-25 05:32:00,19
2016-12-25 05:33:00,21
2016-12-25 05:34:00,22
2016-12-25 05:35:00,22
2016-12-25 05:36:00,11
2016-12-25 05:37:00,25
2016-12-25 05:38:00,22
2016-12-25 05:39:00,24
2016-12-25 05:40:00,22
2016-12-25 05:41:00,25
2016-12-25 05:42:00,25
2016-12-25 05:43:00,13
2016-12-25 05:44:00,26
2016-12-25 05:45:00,27
2016-12-25 05:46:00,26
2016-12-25 05:47:00,9
