114,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2016-12-25 00:02:00,1
2016-12-25 00:04:00,1
2016-12-25 00:05:00,1
2016-12-25 00:06:00,1
2016-12-25 00:10:00,1
2016-12-25 00:11:00,1
2016-12-25 00:12:00,1
2016-12-25 00:15:00,1
2016-12-25 00:17:00,1
2016-12-25 00:20:00,1
2016-12-25 00:23:00,1
2016-12-25 00:26:00,1
2016-12-25 00:29:00,1
2016-12-25 00:41:00,1
2016-12-25 00:48:00,1
2016-12-25 00:49:00,1
2016-12-25 00:51:00,1
2016-12-25 00:52:00,1
2016-12-25 00:55:00,1
2016-12-25 01:00:00,1
2016-12-25 01:02:00,1
2016-12-25 01:03:00,1
2016-12-25 01:09:00,1
2016-12-25 01:36:00,1
2016-12-25 01:41:00,1
2016-12-25 01:43:00,1
2016-12-25 01:46:00,1
2016-12-25 01:53:00,1
2016-12-25 01:55:00,1
2016-12-25 01:56:00,1
2016-12-25 02:04:00,1
2016-12-25 02:07:00,1
2016-12-25 02:12:00,1
2016-12-25 02:14:00,1
2016-12-25 02:17:00,1
2016-12-25 02:19:00,1
2016-12-25 02:22:00,1
2016-12-25 02:25:00,1
2016-12-25 02:28:00,1
2016-12-25 02:39:00,1
2016-12-25 02:45:00,1
2016-12-25 02:46:00,1
2016-12-25 03:08:00,1
2016-12-25 03:10:00,1
2016-12-25 03:15:00,1
2016-12-25 03:16:00,1
2016-12-25 03:17:00,1
2016-12-25 03:19:00,1
2016-12-25 03:20:00,1
2016-12-25 03:21:00,1
2016-12-25 03:22:00,1
2016-12-25 03:25:00,1
2016-12-25 03:26:00,1
2016-12-25 03:27:00,1
2016-12-25 03:28:00,1
2016-12-25 03:30:00,1
2016-12-25 03:31:00,1
2016-12-25 03:32:00,1
2016-12-25 03:33:00,1
2016-12-25 03:35:00,1
2016-12-25 03:36:00,1
2016-12-25 03:37:00,1
2016-12-25 03:39:00,1
2016-12-25 03:41:00,1
2016-12-25 03:42:00,1
2016-12-25 03:43:00,1
2016-12-25 03:44:00,1
2016-12-25 03:46:00,1
2016-12-25 03:47:00,1
2016-12-25 03:48:00,1
2016-12-25 03:49:00,1
2016-12-25 03:51:00,1
2016-12-25 03:52:00,1
2016-12-25 04:06:00,1
2016-12-25 04:08:00,1
2016-12-25 04:10:00,1
2016-12-25 04:11:00,1
2016-12-25 04:12:00,1
2016-12-25 04:14:00,1
2016-12-25 04:16:00,1
2016-12-25 04:19:00,1
2016-12-25 04:21:00,1
2016-12-25 04:27:00,1
2016-12-25 04:30:00,1
2016-12-25 04:32:00,1
2016-12-25 04:35:00,1
2016-12-25 04:37:00,1
2016-12-25 04:39:00,1
2016-12-25 04:41:00,1
2016-12-25 04:43:00,1
2016-12-25 04:46:00,1
2016-12-25 04:48:00,1
2016-12-25 04:51:00,1
2016-12-25 04:54:00,1
2016-12-25 04:57:00,1
2016-12-25 04:59:00,1
2016-12-25 05:01:00,1
2016-12-25 05:02:00,1
2016-12-25 05:04:00,1
2016-12-25 05:05:00,1
2016-12-25 05:13:00,1
2016-12-25 05:14:00,1
2016-12-25 05:15:00,1
2016-12-25 05:16:00,1
2016-12-25 05:19:00,1
2016-12-25 05:24:00,1
2016-12-25 05:26:00,1
2016-12-25 05:29:00,1
2016-12-25 05:34:00,1
2016-12-25 05:36:00,1
2016-12-25 05:42:00,2
2016-12-25 05:44:00,1
2016-12-25 05:46:00,1
