356,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2017-01-08 05:00:00,8
2017-01-08 05:01:00,8
2017-01-08 05:02:00,8
2017-01-08 05:03:00,8
2017-01-08 05:04:00,8
2017-01-08 05:05:00,8
2017-01-08 05:06:00,4
2017-01-08 05:07:00,8
2017-01-08 05:08:00,9
2017-01-08 05:09:00,10
2017-01-08 05:10:00,10
2017-01-08 05:11:00,9
2017-01-08 05:12:00,9
2017-01-08 05:13:00,5
2017-01-08 05:14:00,12
2017-01-08 05:15:00,12
2017-01-08 05:16:00,12
2017-01-08 05:17:00,6
2017-01-08 05:19:00,12
2017-01-08 05:21:00,7
2017-01-08 05:23:00,18
2017-01-08 05:24:00,23
2017-01-08 05:25:00,22
2017-01-08 05:26:00,23
2017-01-08 05:27:00,11
2017-01-08 05:28:00,22
2017-01-08 05:29:00,21
2017-01-08 05:30:00,20
2017-01-08 05:31:00,22
2017-01-08 05:32:00,1
