370,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2017-01-08 05:00:00,7
2017-01-08 05:01:00,9
2017-01-08 05:02:00,9
2017-01-08 05:03:00,8
2017-01-08 05:04:00,8
2017-01-08 05:05:00,8
2017-01-08 05:06:00,4
2017-01-08 05:07:00,8
2017-01-08 05:08:00,9
2017-01-08 05:09:00,10
2017-01-08 05:10:00,10
2017-01-08 05:11:00,9
2017-01-08 05:12:00,11
2017-01-08 05:13:00,6
2017-01-08 05:14:00,10
2017-01-08 05:15:00,12
2017-01-08 05:16:00,13
2017-01-08 05:17:00,7
2017-01-08 05:18:00,4
2017-01-08 05:19:00,9
2017-01-08 05:21:00,8
2017-01-08 05:22:00,3
2017-01-08 05:23:00,15
2017-01-08 05:24:00,21
2017-01-08 05:25:00,24
2017-01-08 05:26:00,22
2017-01-08 05:27:00,11
2017-01-08 05:28:00,21
2017-01-08 05:29:00,19
2017-01-08 05:30:00,21
2017-01-08 05:31:00,22
2017-01-08 05:32:00,12
