73,"select st.trip_id, st.stop_sequence, st.estimate_source, st.fullness, st.departure_time_hour, st.departure_time_minute, s.stop_lat, s.stop_lon, t.direction_id, t.route_id, r.route_short_name from m.stop AS s RIGHT JOIN m.stop_time AS st  ON st.agency_id = s.agency_id AND st.stop_id = s.stop_id LEFT JOIN m.trip AS t ON t.agency_id = st.agency_id AND t.trip_id = st.trip_id LEFT JOIN m.route AS r ON t.agency_id = r.agency_id AND t.route_id = r.route_id WHERE st.estimate_source in ( @@@,  @@@) AND st.agency_id = $# AND (((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)) OR ((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)))  order by st.stop_sequence"
2017-01-13 00:01:00,1
2017-01-13 00:21:00,1
2017-01-13 00:24:00,1
2017-01-13 00:29:00,1
2017-01-13 00:31:00,1
2017-01-13 00:34:00,1
2017-01-13 00:35:00,1
2017-01-13 00:42:00,1
2017-01-13 00:58:00,1
2017-01-13 00:59:00,1
2017-01-13 01:08:00,1
2017-01-13 01:13:00,1
2017-01-13 01:14:00,1
2017-01-13 01:21:00,1
2017-01-13 01:28:00,1
2017-01-13 01:32:00,1
2017-01-13 01:34:00,1
2017-01-13 01:40:00,1
2017-01-13 01:43:00,1
2017-01-13 01:53:00,1
2017-01-13 01:58:00,1
2017-01-13 02:00:00,1
2017-01-13 02:04:00,1
2017-01-13 02:07:00,1
2017-01-13 02:21:00,1
2017-01-13 02:23:00,1
2017-01-13 02:25:00,1
2017-01-13 02:33:00,1
2017-01-13 02:37:00,1
2017-01-13 02:44:00,1
2017-01-13 02:51:00,1
2017-01-13 02:53:00,1
2017-01-13 02:54:00,1
2017-01-13 02:56:00,1
2017-01-13 02:57:00,1
2017-01-13 03:01:00,1
2017-01-13 03:03:00,1
2017-01-13 03:05:00,1
2017-01-13 03:08:00,1
2017-01-13 03:10:00,1
2017-01-13 03:23:00,1
2017-01-13 03:29:00,1
2017-01-13 03:34:00,1
2017-01-13 03:39:00,1
2017-01-13 03:40:00,1
2017-01-13 03:44:00,1
2017-01-13 03:53:00,1
2017-01-13 03:58:00,1
2017-01-13 04:00:00,1
2017-01-13 04:11:00,1
2017-01-13 04:12:00,1
2017-01-13 04:14:00,1
2017-01-13 04:16:00,1
2017-01-13 04:26:00,1
2017-01-13 04:33:00,1
2017-01-13 04:38:00,1
2017-01-13 04:41:00,1
2017-01-13 04:42:00,1
2017-01-13 04:47:00,1
2017-01-13 04:49:00,1
2017-01-13 04:50:00,1
2017-01-13 04:54:00,1
2017-01-13 04:55:00,1
2017-01-13 04:59:00,1
2017-01-13 05:02:00,1
2017-01-13 05:03:00,1
2017-01-13 05:04:00,1
2017-01-13 05:05:00,1
2017-01-13 05:06:00,1
2017-01-13 05:16:00,1
2017-01-13 05:21:00,1
2017-01-13 05:22:00,1
2017-01-13 05:28:00,1
