276,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-09 05:00:00,11
2017-01-09 05:02:00,12
2017-01-09 05:05:00,13
2017-01-09 05:08:00,13
2017-01-09 05:10:00,13
2017-01-09 05:13:00,14
2017-01-09 05:16:00,15
2017-01-09 05:18:00,16
2017-01-09 05:21:00,15
2017-01-09 05:23:00,16
2017-01-09 05:26:00,17
2017-01-09 05:29:00,18
2017-01-09 05:31:00,19
2017-01-09 05:34:00,20
2017-01-09 05:37:00,20
2017-01-09 05:40:00,22
2017-01-09 05:43:00,22
