81,"select st.trip_id, st.stop_sequence, st.estimate_source, st.fullness, st.departure_time_hour, st.departure_time_minute, s.stop_lat, s.stop_lon, t.direction_id, t.route_id, r.route_short_name from m.stop AS s RIGHT JOIN m.stop_time AS st  ON st.agency_id = s.agency_id AND st.stop_id = s.stop_id LEFT JOIN m.trip AS t ON t.agency_id = st.agency_id AND t.trip_id = st.trip_id LEFT JOIN m.route AS r ON t.agency_id = r.agency_id AND t.route_id = r.route_id WHERE st.estimate_source in ( @@@,  @@@) AND st.agency_id = $# AND (((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)) OR ((departure_time_hour * # + departure_time_minute) >= ($#-#)  AND (departure_time_hour * # + departure_time_minute) <= ($#+#)))  order by st.stop_sequence"
2017-01-15 00:14:00,1
2017-01-15 00:16:00,1
2017-01-15 00:20:00,1
2017-01-15 00:21:00,1
2017-01-15 00:23:00,1
2017-01-15 00:24:00,1
2017-01-15 00:27:00,1
2017-01-15 00:29:00,1
2017-01-15 00:35:00,1
2017-01-15 00:38:00,1
2017-01-15 00:41:00,1
2017-01-15 00:49:00,1
2017-01-15 00:50:00,1
2017-01-15 00:52:00,1
2017-01-15 00:57:00,1
2017-01-15 00:59:00,1
2017-01-15 01:03:00,1
2017-01-15 01:06:00,2
2017-01-15 01:10:00,1
2017-01-15 01:12:00,1
2017-01-15 01:15:00,1
2017-01-15 01:30:00,1
2017-01-15 01:32:00,1
2017-01-15 01:35:00,1
2017-01-15 01:37:00,1
2017-01-15 01:41:00,1
2017-01-15 01:43:00,1
2017-01-15 01:46:00,1
2017-01-15 01:48:00,1
2017-01-15 02:02:00,1
2017-01-15 02:05:00,1
2017-01-15 02:07:00,1
2017-01-15 02:08:00,1
2017-01-15 02:40:00,1
2017-01-15 02:43:00,1
2017-01-15 02:45:00,1
2017-01-15 02:46:00,1
2017-01-15 02:48:00,1
2017-01-15 02:49:00,1
2017-01-15 02:50:00,1
2017-01-15 02:51:00,1
2017-01-15 02:53:00,1
2017-01-15 03:10:00,1
2017-01-15 03:11:00,1
2017-01-15 03:39:00,1
2017-01-15 03:57:00,1
2017-01-15 03:59:00,1
2017-01-15 04:00:00,1
2017-01-15 04:01:00,1
2017-01-15 04:02:00,1
2017-01-15 04:04:00,1
2017-01-15 04:05:00,1
2017-01-15 04:06:00,1
2017-01-15 04:07:00,1
2017-01-15 04:33:00,1
2017-01-15 04:36:00,1
2017-01-15 04:39:00,1
2017-01-15 04:42:00,1
2017-01-15 04:44:00,1
2017-01-15 04:47:00,1
2017-01-15 04:49:00,1
2017-01-15 04:52:00,1
2017-01-15 04:53:00,1
2017-01-15 04:54:00,1
2017-01-15 04:56:00,1
2017-01-15 04:57:00,1
2017-01-15 04:58:00,1
2017-01-15 04:59:00,1
2017-01-15 05:03:00,1
2017-01-15 05:13:00,1
2017-01-15 05:14:00,1
2017-01-15 05:15:00,2
2017-01-15 05:17:00,1
2017-01-15 05:19:00,1
2017-01-15 05:21:00,1
2017-01-15 05:22:00,2
2017-01-15 05:23:00,1
2017-01-15 05:24:00,1
