347,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2017-01-15 05:00:00,7
2017-01-15 05:01:00,7
2017-01-15 05:02:00,8
2017-01-15 05:03:00,8
2017-01-15 05:04:00,8
2017-01-15 05:05:00,8
2017-01-15 05:06:00,4
2017-01-15 05:07:00,8
2017-01-15 05:08:00,8
2017-01-15 05:09:00,9
2017-01-15 05:10:00,10
2017-01-15 05:11:00,8
2017-01-15 05:12:00,9
2017-01-15 05:13:00,5
2017-01-15 05:14:00,11
2017-01-15 05:15:00,14
2017-01-15 05:16:00,17
2017-01-15 05:17:00,18
2017-01-15 05:18:00,18
2017-01-15 05:19:00,9
2017-01-15 05:20:00,19
2017-01-15 05:21:00,18
2017-01-15 05:22:00,20
2017-01-15 05:23:00,20
2017-01-15 05:24:00,19
2017-01-15 05:25:00,9
2017-01-15 05:26:00,20
2017-01-15 05:27:00,19
2017-01-15 05:28:00,9
