172,SELECT a.agency_timezone FROM m.agency a WHERE a.agency_id = # 
2016-12-17 05:00:00,7
2016-12-17 05:02:00,7
2016-12-17 05:05:00,8
2016-12-17 05:07:00,7
2016-12-17 05:10:00,8
2016-12-17 05:13:00,8
2016-12-17 05:15:00,9
2016-12-17 05:18:00,9
2016-12-17 05:20:00,2
2016-12-17 05:21:00,7
2016-12-17 05:23:00,9
2016-12-17 05:26:00,9
2016-12-17 05:28:00,10
2016-12-17 05:31:00,10
2016-12-17 05:34:00,10
2016-12-17 05:36:00,11
2016-12-17 05:39:00,10
2016-12-17 05:42:00,11
2016-12-17 05:44:00,11
2016-12-17 05:47:00,9
