179,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2016-12-23 05:00:00,12
2016-12-23 05:02:00,13
2016-12-23 05:05:00,12
2016-12-23 05:08:00,13
2016-12-23 05:10:00,13
2016-12-23 05:13:00,14
2016-12-23 05:15:00,15
2016-12-23 05:18:00,14
2016-12-23 05:21:00,17
2016-12-23 05:24:00,16
2016-12-23 05:26:00,19
2016-12-23 05:29:00,19
2016-12-23 05:32:00,2
