202,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-11 05:00:00,11
2017-01-11 05:02:00,11
2017-01-11 05:05:00,12
2017-01-11 05:08:00,12
2017-01-11 05:10:00,13
2017-01-11 05:13:00,14
2017-01-11 05:16:00,15
2017-01-11 05:18:00,13
2017-01-11 05:19:00,3
2017-01-11 05:21:00,17
2017-01-11 05:24:00,17
2017-01-11 05:26:00,17
2017-01-11 05:29:00,19
2017-01-11 05:32:00,21
2017-01-11 05:35:00,7
